view,model,subject,folds,parameters,accuracy,accuracy_percent
frontal_ear,unified_carrier,clt,5,243462,0.9607142857142857,96.07142857142857
frontal_ear,unified_carrier,fl,5,243462,0.9867647058823529,98.67647058823529
frontal_ear,unified_carrier,kjw,5,243462,0.8808823529411764,88.08823529411765
frontal_ear,unified_carrier,ly,5,243462,0.7623949579831933,76.23949579831934
frontal_ear,unified_carrier,lyd,5,243462,0.7012605042016806,70.12605042016806
frontal_ear,unified_carrier,mym,5,243462,0.9792016806722689,97.92016806722688
frontal_ear,unified_carrier,qjj,5,243462,0.6021008403361344,60.21008403361344
frontal_ear,unified_carrier,qyf,5,243462,0.9279411764705883,92.79411764705883
frontal_ear,unified_carrier,xh,5,243462,0.7378151260504202,73.78151260504202
frontal_ear,unified_carrier,ypy,5,243462,0.9558823529411764,95.58823529411764
frontal_ear,unified_carrier,yyj,5,243462,0.9957983193277311,99.57983193277312
frontal_ear,unified_carrier,zhf,5,243462,0.9974789915966387,99.74789915966386
frontal_ear,unified_carrier,zhl,5,243462,0.9861344537815124,98.61344537815124
frontal_ear,unified_carrier,zn,5,243462,0.9224789915966387,92.24789915966387
frontal_ear,unified_carrier,zy,5,243462,0.9628151260504202,96.28151260504202
frontal_ear,dual_branch,clt,5,247978,0.9716386554621849,97.16386554621849
frontal_ear,dual_branch,fl,5,247978,0.9737394957983193,97.37394957983193
frontal_ear,dual_branch,kjw,5,247978,0.8701680672268907,87.01680672268907
frontal_ear,dual_branch,ly,5,247978,0.7665966386554622,76.65966386554622
frontal_ear,dual_branch,lyd,5,247978,0.7247899159663865,72.47899159663865
frontal_ear,dual_branch,mym,5,247978,0.9989495798319329,99.8949579831933
frontal_ear,dual_branch,qjj,5,247978,0.7008403361344537,70.08403361344537
frontal_ear,dual_branch,qyf,5,247978,0.9434873949579833,94.34873949579833
frontal_ear,dual_branch,xh,5,247978,0.7069327731092436,70.69327731092436
frontal_ear,dual_branch,ypy,5,247978,0.967436974789916,96.74369747899159
frontal_ear,dual_branch,yyj,5,247978,0.9997899159663867,99.97899159663866
frontal_ear,dual_branch,zhf,5,247978,0.9981092436974791,99.81092436974791
frontal_ear,dual_branch,zhl,5,247978,0.9968487394957982,99.68487394957982
frontal_ear,dual_branch,zn,5,247978,0.9310924369747898,93.10924369747899
frontal_ear,dual_branch,zy,5,247978,0.9521008403361344,95.21008403361344
frontal_ear,dual_branch_cd,clt,5,247978,0.9781512605042018,97.81512605042018
frontal_ear,dual_branch_cd,fl,5,247978,0.9842436974789915,98.42436974789915
frontal_ear,dual_branch_cd,kjw,5,247978,0.8733193277310924,87.33193277310924
frontal_ear,dual_branch_cd,ly,5,247978,0.7665966386554622,76.65966386554622
frontal_ear,dual_branch_cd,lyd,5,247978,0.6968487394957983,69.68487394957982
frontal_ear,dual_branch_cd,mym,5,247978,0.9989495798319329,99.8949579831933
frontal_ear,dual_branch_cd,qjj,5,247978,0.7006302521008403,70.06302521008404
frontal_ear,dual_branch_cd,qyf,5,247978,0.9474789915966386,94.74789915966386
frontal_ear,dual_branch_cd,xh,5,247978,0.7378151260504202,73.78151260504202
frontal_ear,dual_branch_cd,ypy,5,247978,0.9670168067226891,96.7016806722689
frontal_ear,dual_branch_cd,yyj,5,247978,0.9997899159663867,99.97899159663866
frontal_ear,dual_branch_cd,zhf,5,247978,0.9993697478991596,99.93697478991595
frontal_ear,dual_branch_cd,zhl,5,247978,0.994747899159664,99.4747899159664
